Jama,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,obmazywanie,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ucha,inne/ nieokreœlone el. plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,wyg³adzanie,nak³uwanie
65,,,,,"rz¹d do³ków paznokciowych, otwory na powierzchni",,nan,,,,,,1,1,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
65,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,g,k,,dno,3a,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,g,"k, s?",,,3a,,,,,,,,,,,,,,,,,,,,
65,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
65,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
65,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
65,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
65,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
65,b,b,g,k,,dno,3a,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
65,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
65,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
66,,,,,"odcisk plecionki, otwory na powierzchni z plastycznymi obwódkami",talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,,,,,otwory na powierzchni z plastycznymi obwódkami,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
66,,,,,"otwory na powierzchni z plastycznymi obwódkami, odcisk plecionki",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
66,,,,,otwory na powierzchni z plastycznymi obwódkami,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,,,,,otwory na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
66,,,,,otwory na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
66,,,,,"odcisk plecionki, otwór na powierzchni",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
66,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
66,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,guz plastyczny z do³kiem palcowym,,3b,1,,,,,,,,,1,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,"do³ki paznokciowe, otwór pod wylewem",,3b,,,,,,,1,,1,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,do³ki paznokciowe,,3b,,,,,,,1,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,otwór na powierzchni,,3b,,,,,,1,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,do³ek paznokciowy,,3b,,,,,,,1,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
66,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,c,g,0/k,,,2a,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
68,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
68,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,b,g,0/k,otwory pod wylewem,,3a,,,,,,,,,1,,,,,,,,,,,
68,b,b,g,k,,dno,3a,,,,,,,,,,,,,,,,,,,,
68,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
68,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
68,c,b,g,k,,,1,,,,,,,,,,,,,,,,,,,,
68,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
68,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,c,g,0/k,,,2a,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,c,b,g,0,,,1,,,,,,,,,,,,,,,,,,,,
68,,,,,"do³ki paznokciowe, otwór na powierzchni",talerz-placek,3c,,,,,,1,1,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,b,c,g,0,,,2a,,,,,,,,,,,,,,,,,,,,
68,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
68,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
69,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
69,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
69,,,,,odciski paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,g,0,ucho,,3a,,,,,,,,,,,,,,1,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,g,k,,zachowane dobrze naczynie z widocznym zaciemnieniem w srodku - do zdjêcia!,3a,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,ch,k,do³ki paznokciowe,,3b,,,,,,,1,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,g,k,"do³ki paznokciowe, otwory pod wylewem",,3a,,,,,,,1,,1,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
69,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
69,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
69,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
69,b,c,g,k,fragm. guzka plastycznego,,2a,,,1,,,,,,,,,,,,,,,,,
69,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,g,k,otwór pod wylewem,,3a,,,,,,,,,1,,,,,,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
69,,,,,odciski palcowe,talerz-placek,3c,,,,,,,,,,1,,,,,,,,,,
69,b,b,g,0/k,otwór na powierzchni,,3a,,,,,,1,,,,,,,,,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
69,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
69,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
69,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
69,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
69,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,t³uczeñ kamienny widoczny na powierzchni - zdjêcie!,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,"jedno naczynie, na dodatek klejone - zdjêcia!",3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,"pdwójne, przek³uwane ucho",,3a,,,,,,,,,,,,,,1,,,,,,
47,b,b,g,k,,dno,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,wylew,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
47,b,b,g,k,,wylew,3a,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
46/47?,b,b,g,0,otwory pod wylewem,wylew,3a,,,,,,,,,1,,,,,,,,,,,
46/47?,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,b,b,g,k,,dno,3a,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
46/47?,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
46/47?,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
46/47?,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,b,b,g,0,otwory pod wylewem,,3a,,,,,,,,,1,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
46/47?,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
46/47?,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,,,,,do³ek paznokciowy,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,rz¹d do³ków paznokciowych,,3b,,,,,,,1,,,,,,,,,,,,,
70,b,b,g,0,dookolna linia ryta,,3a,,1,,,,,,,,,,,,,,,,,,
70,,,,,rz¹d do³ków paznokciowych,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,rz¹d do³ków paznokciowych,,3b,,,,,,,1,,,,,,,,,,,,,
70,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
70,b,b,ch,k,dolepiana plastyczna listewka z trzema zag³êbieniami,,3b,,,,,,,,,,,,,1,,1,,,,,
70,b,b,g,k,,dno,3a,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,,,,,"odcisk plecionki, do³ek paznokciowy",talerz-placek,3c,,,,,1,,1,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,g,k,otwory pod wylewem,,3a,,,,,,,,,1,,,,,,,,,,,
70,b,b,g,0,,klejone; skorupy maj¹ ró¿ne kolory (warunki podepozycyjne?) - zdjêcie,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,b,c,g,k,,dno,2a,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,g,0/k,guzki przy krawêdzi wylewu,,3a,,,1,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
70,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
70,,,,roœlinna,-,-,nan,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
70,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
73,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
73,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
73,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
73,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
73,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
73,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
74,,,,,"odcisk plecionki, otwór na powierzchni",talerz-placek,3c,,,,,1,1,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
74,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
74,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
74,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
74,b,b,g,0,poziome i ukoœne linie ryte,,3a,,1,,,,,,,,,,,,,,,,,,
74,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
74,,,,,"otwór na powierzchni, do³ek paznokciowy",talerz-placek,3c,,,,,,1,1,,,,,,,,,,,,,
74,b,b,ch,k,do³ek paznokciowy,,3b,,,,,,,1,,,,,,,,,,,,,
74,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
74,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
74,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
74,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
74,b,c,ch,k,,,2b,,,,,,,,,,,,,,,,,,,,
74,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
75,,,,,"do³ki paznokciowe, otwór na powierzchni",talerz-placek,3c,,,,,,1,1,,,,,,,,,,,,,
75,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
75,,,,,do³ki paznokciowe,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
75,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
75,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
75,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
75,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
75,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
75,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
75,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
75,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
75,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
75,b,b,g,k,otwó pod wylewem,,3a,,,,,,,,,1,,,,,,,,,,,
75,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
75,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
75,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
75,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
76,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
76,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
76,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
76,b,b,g,0,,,3a,,,,,,,,,,,,,,,,,,,,
76,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
78,b,b,g,k,,dno,3a,,,,,,,,,,,,,,,,,,,,
78,b,b,ch,k,guz plastyczny,,3b,,,1,,,,,,,,,,,,,,,,,
78,b,b,ch,k,"guzy plastyczne, listwa karbowana, szeroka linia ryta? pod wylewem",,3b,,1,1,,,,,,,,,1,,,,,,,,
78,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
78,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
78,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
78,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
78,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
78,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
78,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
78,b,b,g,k,otwory pod wylewem,wylew,3a,,,,,,,,,1,,,,,,,,,,,
78,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
78,,,,,do³ek paznokciowy,talerz-placek,3c,,,,,,,1,,,,,,,,,,,,,
